serial,band,ssid,wireless_mode,channel,bandwidth,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
1,2.4 GHz,NetgearR6100_2G,54Mbps,AUTO,,None,,tx rx,TCP,,,否,
2,2.4 GHz,NetgearR6100_2G,54Mbps,1,,WEP,,tx rx,TCP,wep-64,12345,否,
3,2.4 GHz,NetgearR6100_2G,54Mbps,2,,WEP,,tx rx,TCP,wep-128,12345678901234567890123456,否,
4,2.4 GHz,NetgearR6100_2G,54Mbps,3,,WPA-PSK,12345678,tx rx,TCP,,,否,
5,2.4 GHz,NetgearR6100_2G,54Mbps,4,,WPA2-PSK,12345678,tx rx,TCP,,,否,
6,2.4 GHz,NetgearR6100_2G,54Mbps,5,,WPA/WPA2,12345678,tx rx,TCP,,,否,
7,2.4 GHz,NetgearR6100_2G,145Mbps,6,,None,,tx rx,TCP,,,是,NONE
8,2.4 GHz,NetgearR6100_2G,54Mbps,7,,WEP,,tx rx,TCP,wep-64,12345,否,
9,2.4 GHz,NetgearR6100_2G,54Mbps,8,,WEP,,tx rx,TCP,wep-128,12345678901234567890123456,否,
10,2.4 GHz,NetgearR6100_2G,54Mbps,9,,WPA-PSK,12345678,tx rx,TCP,,,否,
11,2.4 GHz,NetgearR6100_2G,145Mbps,10,,WPA2-PSK,12345678,tx rx,TCP,,,是,PSK
12,2.4 GHz,NetgearR6100_2G,145Mbps,11,,WPA/WPA2,12345678,tx rx,TCP,,,否,
13,2.4 GHz,NetgearR6100_2G,300Mbps,1,,None,,tx rx,TCP,,,否,
14,2.4 GHz,NetgearR6100_2G,54Mbps,6,,WEP,,tx rx,TCP,wep-64,12345,否,
15,2.4 GHz,NetgearR6100_2G,54Mbps,11,,WEP,,tx rx,TCP,wep-128,12345678901234567890123456,否,
16,2.4 GHz,NetgearR6100_2G,54Mbps,4,,WPA-PSK,12345678,tx rx,TCP,,,否,
17,2.4 GHz,NetgearR6100_2G,300Mbps,5,,WPA2-PSK,12345678,tx rx,TCP,,,否,
18,2.4 GHz,NetgearR6100_2G,300Mbps,6,,WPA/WPA2,12345678,tx rx,TCP,,,否,
19,5 GHz,NetgearR6100_5G,192Mbps,36,,None,,tx rx,TCP,,,是,NONE
20,5 GHz,NetgearR6100_5G,192Mbps,40,,WPA2,12345678,tx rx,TCP,,,否,
21,5 GHz,NetgearR6100_5G,192Mbps,44,,WPA/WPA2,12345678,tx rx,TCP,,,否,
22,5 GHz,NetgearR6100_5G,192Mbps,48,,None,,tx rx,TCP,,,否,
23,5 GHz,NetgearR6100_5G,192Mbps,149,,WPA2,12345678,tx rx,TCP,,,否,
24,5 GHz,NetgearR6100_5G,192Mbps,153,,WPA/WPA2,12345678,tx rx,TCP,,,否,
25,5 GHz,NetgearR6100_5G,192Mbps,157,,None,,tx rx,TCP,,,否,
26,5 GHz,NetgearR6100_5G,192Mbps,161,,WPA2,12345678,tx rx,TCP,,,是,PSK
27,5 GHz,NetgearR6100_5G,400Mbps,36,,WPA/WPA2,12345678,tx rx,TCP,,,否,
28,5 GHz,NetgearR6100_5G,400Mbps,40,,None,,tx rx,TCP,,,否,
29,5 GHz,NetgearR6100_5G,400Mbps,44,,WPA2,12345678,tx rx,TCP,,,否,
30,5 GHz,NetgearR6100_5G,400Mbps,48,,WPA/WPA2,12345678,tx rx,TCP,,,否,
31,5 GHz,NetgearR6100_5G,400Mbps,149,,None,,tx rx,TCP,,,否,
32,5 GHz,NetgearR6100_5G,400Mbps,153,,WPA2,12345678,tx rx,TCP,,,是,PSK
33,5 GHz,NetgearR6100_5G,400Mbps,157,,WPA/WPA2,12345678,tx rx,TCP,,,否,
34,5 GHz,NetgearR6100_5G,400Mbps,161,,None,,tx rx,TCP,,,否,
35,5 GHz,NetgearR6100_5G,867Mbps,36,,WPA2,12345678,tx rx,TCP,,,否,
36,5 GHz,NetgearR6100_5G,867Mbps,40,,WPA/WPA2,12345678,tx rx,TCP,,,否,
37,5 GHz,NetgearR6100_5G,867Mbps,44,,None,,tx rx,TCP,,,是,NONE
38,5 GHz,NetgearR6100_5G,867Mbps,48,,WPA2,12345678,tx rx,TCP,,,否,
39,5 GHz,NetgearR6100_5G,867Mbps,149,,WPA/WPA2,12345678,tx rx,TCP,,,否,
40,5 GHz,NetgearR6100_5G,867Mbps,153,,None,,tx rx,TCP,,,否,
41,5 GHz,NetgearR6100_5G,867Mbps,157,,WPA2,12345678,tx rx,TCP,,,否,
42,5 GHz,NetgearR6100_5G,867Mbps,161,,WPA/WPA2,12345678,tx rx,TCP,,,否,