serial,band,ssid,wireless_mode,channel,bandwidth,security_protocol,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
1,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,自动,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
2,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,自动,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
3,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,1,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
4,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,1,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
5,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,1,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
6,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,1,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
7,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,2,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,是,PSK
8,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,3,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
9,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,4,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
10,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,5,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
11,2.4G,Tplinkax6000_2.4G_测试,11bgn/ax mixed,6,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,是,PSK
12,2.4G,Tplinkax6000_2.4G_测试,11bgn/ax mixed,6,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
13,2.4G,Tplinkax6000_2.4G_测试,11bgn/ax mixed,6,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
14,2.4G,Tplinkax6000_2.4G_测试,11bgn/ax mixed,6,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
15,2.4G,Tplinkax6000_2.4G_测试,11bgn/ax mixed,7,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
16,2.4G,Tplinkax6000_2.4G_测试,11bgn/ax mixed,8,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
17,2.4G,Tplinkax6000_2.4G_测试,11bgn/ax mixed,9,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
18,2.4G,Tplinkax6000_2.4G_测试,11bgn/ax mixed,10,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
19,2.4G,Tplinkax6000_2.4G_123,11bgn/ax mixed,11,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,是,PSK
20,2.4G,Tplinkax6000_2.4G_123,11bgn/ax mixed,11,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
21,2.4G,Tplinkax6000_2.4G_123,11bgn/ax mixed,11,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,否,
22,2.4G,Tplinkax6000_2.4G_123,11bgn/ax mixed,11,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123_HOME,,,,,否,
23,2.4G,Tplinkax6000_2.4G#$,11bgn mixed,1,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
24,2.4G,Tplinkax6000_2.4G#$,11bgn mixed,1,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
25,2.4G,Tplinkax6000_2.4G#$,11bgn mixed,1,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
26,2.4G,Tplinkax6000_2.4G#$,11bgn mixed,1,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
27,2.4G,Tplinkax6000_2.4G#$,11bgn mixed,2,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
28,2.4G,Tplinkax6000_2.4G#$,11bgn mixed,3,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,是,PSK
29,2.4G,Tplinkax6000_2.4G#$,11bgn mixed,4,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
30,2.4G,Tplinkax6000_2.4G#$,11bgn mixed,5,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
31,2.4G,Tplinkax6000_2.4G_测试,11bgn mixed,6,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
32,2.4G,Tplinkax6000_2.4G_测试,11bgn mixed,6,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
33,2.4G,Tplinkax6000_2.4G_测试,11bgn mixed,6,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
34,2.4G,Tplinkax6000_2.4G_测试,11bgn mixed,6,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
35,2.4G,Tplinkax6000_2.4G_123,11bgn mixed,7,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,否,
36,2.4G,Tplinkax6000_2.4G_123,11bgn mixed,8,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,是,PSK
37,2.4G,Tplinkax6000_2.4G_123,11bgn mixed,9,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,amlogic_wifi123_HOME,,,,,否,
38,2.4G,Tplinkax6000_2.4G_123,11bgn mixed,10,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,否,
39,2.4G,Tplinkax6000_2.4G_123,11bgn mixed,11,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
40,2.4G,Tplinkax6000_2.4G_123,11bgn mixed,11,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,否,
41,2.4G,Tplinkax6000_2.4G_123,11bgn mixed,11,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123_HOME,,,,,否,
42,2.4G,Tplinkax6000_2.4G#$,11n only,1,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
43,2.4G,Tplinkax6000_2.4G#$,11n only,1,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
44,2.4G,Tplinkax6000_2.4G#$,11n only,1,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
45,2.4G,Tplinkax6000_2.4G#$,11n only,1,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
46,2.4G,Tplinkax6000_2.4G_测试,11n only,6,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
47,2.4G,Tplinkax6000_2.4G_测试,11n only,6,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
48,2.4G,Tplinkax6000_2.4G_测试,11n only,6,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
49,2.4G,Tplinkax6000_2.4G_测试,11n only,6,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
50,2.4G,Tplinkax6000_2.4G_123,11n only,11,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,否,
51,2.4G,Tplinkax6000_2.4G_123,11n only,11,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
52,2.4G,Tplinkax6000_2.4G_123,11n only,11,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,否,
53,2.4G,Tplinkax6000_2.4G_123,11n only,11,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123_HOME,,,,,是,PSK
54,2.4G,Tplinkax6000_2.4G#$,11bg mixed,1,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
55,2.4G,Tplinkax6000_2.4G#$,11bg mixed,1,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
56,2.4G,Tplinkax6000_2.4G_测试,11bg mixed,6,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
57,2.4G,Tplinkax6000_2.4G_测试,11bg mixed,6,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
58,2.4G,Tplinkax6000_2.4G_123,11bg mixed,11,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,是,PSK
59,2.4G,Tplinkax6000_2.4G_123,11bg mixed,11,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123_HOME,,,,,否,
60,2.4G,Tplinkax6000_2.4G#$,11g only,1,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
61,2.4G,Tplinkax6000_2.4G#$,11g only,1,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
62,2.4G,Tplinkax6000_2.4G_测试,11g only,6,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
63,2.4G,Tplinkax6000_2.4G_测试,11g only,6,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
64,2.4G,Tplinkax6000_2.4G_123,11g only,11,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,否,
65,2.4G,Tplinkax6000_2.4G_123,11g only,11,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123_HOME,,,,,否,
66,2.4G,Tplinkax6000_2.4G#$,11b only,1,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
67,2.4G,Tplinkax6000_2.4G#$,11b only,1,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
68,2.4G,Tplinkax6000_2.4G_测试,11b only,6,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123@,,,,,否,
69,2.4G,Tplinkax6000_2.4G_测试,11b only,6,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
70,2.4G,Tplinkax6000_2.4G_123,11b only,11,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123_HOME,,,,,否,
71,2.4G,Tplinkax6000_2.4G_123,11b only,11,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123_HOME,,,,,否,
72,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,2,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
73,2.4G,Tplinkax6000_2.4G#$,11bgn mixed,3,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
74,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,4,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
75,2.4G,Tplinkax6000_2.4G#$,11b only,5,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
76,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,6,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,是,PSK
77,2.4G,Tplinkax6000_2.4G#$,11g only,7,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
78,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,8,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
79,2.4G,Tplinkax6000_2.4G#$,11g only,9,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
80,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,10,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
81,2.4G,Tplinkax6000_2.4G#$,11bgn/ax mixed,11,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,amlogic_wifi123,,,,,否,
82,5G,Tplinkax6000_5G#$,11a/n/ac/ax mixed,自动,160MHz/80MHz/40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,是,PSK
83,5G,Tplinkax6000_5G#$,11a/n/ac/ax mixed,自动,160MHz/80MHz/40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
84,5G,Tplinkax6000_5G#$,11a/n/ac/ax mixed,36,160MHz/80MHz/40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
85,5G,Tplinkax6000_5G#$,11a/n/ac/ax mixed,36,160MHz/80MHz/40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,12345678,,,,,否,
86,5G,Tplinkax6000_5G_测试,11a/n/ac/ax mixed,36,80MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
87,5G,Tplinkax6000_5G_测试,11a/n/ac/ax mixed,36,80MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
88,5G,Tplinkax6000_5G_测试,11a/n/ac/ax mixed,36,40MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
89,5G,Tplinkax6000_5G_测试,11a/n/ac/ax mixed,36,40MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123_HOME,,,,,是,PSK
90,5G,Tplinkax6000_5G_测试,11a/n/ac/ax mixed,36,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
91,5G,Tplinkax6000_5G_测试,11a/n/ac/ax mixed,36,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
92,5G,Tplinkax6000_5G_123,11a/n/ac/ax mixed,149,80MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
93,5G,Tplinkax6000_5G_123,11a/n/ac/ax mixed,149,80MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
94,5G,Tplinkax6000_5G_#$,11a/n/ac/ax mixed,149,40MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
95,5G,Tplinkax6000_5G_#$,11a/n/ac/ax mixed,149,40MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123_HOME,,,,,否,
96,5G,Tplinkax6000_5G_#$,11a/n/ac/ax mixed,149,20MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
97,5G,Tplinkax6000_5G_#$,11a/n/ac/ax mixed,149,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
98,5G,Tplinkax6000_5G_123,11a/n/ac mixed,40,160MHz/80MHz/40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
99,5G,Tplinkax6000_5G_123,11a/n/ac mixed,44,80MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
100,5G,Tplinkax6000_5G_123,11a/n mixed,48,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,是,PSK
101,5G,Tplinkax6000_5G_123,11a/n mixed,52,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
102,5G,Tplinkax6000_5G_123,11a/n/ac/ax mixed,56,80MHz,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
103,5G,Tplinkax6000_5G_123,11a/n/ac/ax mixed,60,40MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,是,PSK
104,5G,Tplinkax6000_5G_123,11a/n/ac mixed,64,160MHz/80MHz/40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
105,5G,Tplinkax6000_5G_123,11a/n/ac mixed,153,80MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
106,5G,Tplinkax6000_5G_123,11a/n mixed,157,40MHz/20MHz自动,WPA-PSK/WPA2-PSK,amlogic_wifi123,,,,,否,
107,5G,Tplinkax6000_5G_123,11a/n mixed,161,40MHz/20MHz自动,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,
108,5G,Tplinkax6000_5G_123,11a/n/ac/ax mixed,165,20MHz,WPA2-PSK/WPA3-SAE,amlogic_wifi123@,,,,,否,