serial   ,band   ,ssid          ,wireless_mode         ,channel,bandwidth               ,authentication_method,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
1,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,1,20MHz                   ,OPEN                 ,          ,tx rx    ,TCP          ,           ,          ,否        ,
2,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,1,40MHz                   ,WPA2(AES)-PSK        ,12345678,tx rx    ,TCP          ,           ,          ,是,PSK
3,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,2,20MHz/40MHz             ,WPA-PSK/WPA2-PSK         ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
4,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,2,20MHz                   ,WPA2-PSK/WPA3-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
5,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,3,40MHz                    ,OPEN                  ,           ,tx rx    ,TCP          ,           ,          ,是,NONE
6,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,3,20MHz/40MHz              ,WPA2(AES)-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
7,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,4,20MHz                    ,WPA-PSK/WPA2-PSK     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
8,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,4,40MHz                    ,WPA2-PSK/WPA3-PSK    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
9,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,5,20MHz/40MHz             ,OPEN                  ,          ,tx rx    ,TCP          ,           ,          ,否        ,
10,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,5,20MHz                    ,WPA2(AES)-PSK         ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
11,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n              ,6,40MHz                    ,WPA-PSK/WPA2-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
12,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,6,20MHz/40MHz              ,WPA2-PSK/WPA3-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
13,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,7,20MHz                    ,OPEN                ,          ,tx rx    ,TCP          ,           ,          ,否        ,
14,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,7,40MHz                    ,WPA2(AES)-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
15,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,8,20MHz/40MHz              ,WPA-PSK/WPA2-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,是,PSK
16,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,8,20MHz                     ,WPA2-PSK/WPA3-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否       ,
17,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,9,40MHz              ,OPEN                   ,          ,tx rx    ,TCP          ,           ,          ,否        ,
18,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,9,20MHz/40MHz        ,WPA2(AES)-PSK         ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
19,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,10,20MHz              ,WPA-PSK/WPA2-PSK          ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
20,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,10,40MHz              ,WPA2-PSK/WPA3-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
21,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,11,20MHz/40MHz        ,OPEN                 ,           ,tx rx    ,TCP          ,           ,          ,否        ,
22,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,11,20MHz              ,WPA2(AES)-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
23,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,12,40MHz              ,WPA-PSK/WPA2-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,是,PSK
24,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,12,20MHz/40MHz       ,WPA2-PSK/WPA3-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
25,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,13,20MHz              ,WPA2(AES)-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
26,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n             ,13,20MHz/40MHz        ,WPA2-PSK/WPA3-PSK     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
27,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,1,20MHz               ,OPEN                 ,          ,tx rx    ,TCP          ,           ,          ,否        ,
28,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,1,40MHz               ,WPA2(AES)-PSK        ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
29,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,2,20MHz/40MHz         ,WPA-PSK/WPA2-PSK     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
30,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,2,20MHz              ,WPA2-PSK/WPA3-PSK     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
31,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,3,40MHz              ,OPEN                  ,         ,tx rx    ,TCP          ,           ,          ,否        ,
32,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,3,20MHz/40MHz         ,WPA2(AES)-PSK     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
33,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,4,20MHz               ,WPA-PSK/WPA2-PSK     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
34,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,4,40MHz              ,WPA2-PSK/WPA3-PSK     ,12345678,tx rx    ,TCP          ,           ,          ,是,PSK
35,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,5,20MHz/40MHz         ,OPEN                  ,          ,tx rx    ,TCP          ,           ,          ,是,NONE
36,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,5,20MHz               ,WPA2(AES)-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
37,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,6,40MHz               ,WPA-PSK/WPA2-PSK     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
38,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,6,20MHz/40MHz         ,WPA2-PSK/WPA3-PSK    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
39,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,7,20MHz               ,OPEN               ,           ,tx rx    ,TCP          ,           ,          ,否        ,
40,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,7,40MHz               ,WPA2(AES)-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
41,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,8,20MHz/40MHz           ,WPA-PSK/WPA2-PSK       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
42,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,8,20MHz                 ,WPA2-PSK/WPA3-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
43,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,9,40MHz                ,OPEN                   ,          ,tx rx    ,TCP          ,           ,          ,否        ,
44,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,9,20MHz/40MHz          ,WPA2(AES)-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
45,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,10,20MHz                ,WPA-PSK/WPA2-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
46,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,10,40MHz               ,WPA2-PSK/WPA3-PSK      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
47,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,11,20MHz/40MHz         ,OPEN                ,           ,tx rx    ,TCP          ,           ,          ,否        ,
48,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,11,20MHz                ,WPA2(AES)-PSK   ,12345678,tx rx    ,TCP          ,           ,          ,是,PSK
49,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,12,40MHz               ,WPA-PSK/WPA2-PSK  ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
50,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,12,20MHz/40MHz        ,WPA2-PSK/WPA3-PSK  ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
51,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,13,20MHz                ,OPEN             ,           ,tx rx    ,TCP          ,           ,          ,否        ,
52,2.4 GHz,ZTEax5400_2.4G,802.11 b/g/n/ax.11b/g/n  ,13,40MHz                ,WPA2(AES)-PSK    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
53,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac            ,36,20MHz                     ,WPA2-PSK/WPA3-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
54,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac            ,40,20MHz/40MHz                ,OPEN                        ,          ,rx tx    ,TCP          ,           ,          ,否         ,
55,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac            ,149,20MHz/40MHz                ,WPA-PSK/WPA2-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
56,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac            ,157,20MHz/40MHz/80MHz           ,WPA2(AES)-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
57,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac            ,161,20MHz/40MHz/80MHz           ,WPA-PSK/WPA2-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
58,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac            ,36,20MHz/40MHz/80MHz/160MHz    ,OPEN                        ,          ,rx tx    ,TCP          ,           ,          ,是,NONE
59,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac            ,48,20MHz/40MHz/80MHz/160MHz    ,WPA2(AES)-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
60,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac            ,149,20MHz/40MHz/80MHz          ,WPA-PSK/WPA2-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
61,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac            ,161,20MHz/40MHz/80MHz          ,WPA2-PSK/WPA3-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
62,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,36,20MHz                       ,WPA2(AES)-PSK              ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
63,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,36,20MHz/40MHz                ,OPEN                        ,         ,rx tx    ,TCP          ,           ,          ,否         ,
64,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,40,20MHz/40MHz/80MHz          ,WPA2(AES)-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
65,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,40,20MHz/40MHz/80MHz/160MHz    ,WPA-PSK/WPA2-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,是,PSK
66,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,44,20MHz                       ,WPA2-PSK/WPA3-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
67,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,44,20MHz/40MHz                 ,OPEN                   ,           ,rx tx    ,TCP          ,           ,          ,是,NONE
68,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,48,20MHz/40MHz/80MHz          ,WPA2(AES)-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
69,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,48,20MHz/40MHz/80MHz/160MHz     ,WPA-PSK/WPA2-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
70,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,149,20MHz                        ,WPA2-PSK/WPA3-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
71,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,149,20MHz/40MHz                 ,OPEN                       ,            ,rx tx    ,TCP          ,           ,          ,否         ,
72,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,153,20MHz/40MHz/80MHz           ,WPA2(AES)-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
73,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,153,20MHz/40MHz/80MHz/160MHz    ,WPA-PSK/WPA2-PSK        ,12345678,rx tx    ,TCP          ,           ,          ,是,PSK
74,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,157,20MHz                       ,WPA2-PSK/WPA3-PSK       ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
75,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,157,20MHz/40MHz                 ,OPEN                 ,          ,rx tx    ,TCP          ,           ,          ,否         ,
76,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,161,20MHz/40MHz/80MHz           ,WPA2(AES)-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
77,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,161,20MHz/40MHz/80MHz/160MHz   ,WPA-PSK/WPA2-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
78,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,165,20MHz                     ,WPA2-PSK/WPA3-PSK         ,12345678,rx tx    ,TCP          ,           ,          ,否         ,
79,5 GHz  ,ZTEax5400_5G  ,802.11 a/n/ac/ax.11ac    ,165,20MHz/40MHz             ,WPA2-PSK/WPA3-PSK           ,12345678,rx tx    ,TCP          ,           ,          ,是,PSK